id,production_date,panel_serial_nbr,energy_produced
2539,2023-08-03,482303052582,1.128
2540,2023-08-03,482303052599,1.08
2761,2023-08-02,482303052269,1.35
2762,2023-08-02,482303052299,1.43
2763,2023-08-02,482303052413,1.26
2764,2023-08-02,482303052483,1.35
2765,2023-08-02,482303052487,1.42
2766,2023-08-02,482303052489,1.27
2767,2023-08-02,482303052497,1.42
2768,2023-08-02,482303052574,1.36
2769,2023-08-02,482303052582,1.42
2770,2023-08-02,482303052599,1.42
3001,2023-08-01,482303052269,1.21
3002,2023-08-01,482303052299,1.35
3003,2023-08-01,482303052413,1.31
3004,2023-08-01,482303052483,1.21
3005,2023-08-01,482303052487,1.35
3006,2023-08-01,482303052489,1.33
3007,2023-08-01,482303052497,1.39
3008,2023-08-01,482303052574,1.24
3009,2023-08-01,482303052582,1.4
3010,2023-08-01,482303052599,1.36
3251,2023-07-31,482303052269,0.475
3252,2023-07-31,482303052299,0.578
3253,2023-07-31,482303052413,0.595
3254,2023-07-31,482303052483,0.465
3255,2023-07-31,482303052487,0.571
3256,2023-07-31,482303052489,0.603
3257,2023-07-31,482303052497,0.623
3258,2023-07-31,482303052574,0.484
3259,2023-07-31,482303052582,0.625
3260,2023-07-31,482303052599,0.577
3511,2023-07-30,482303052269,1.48
3512,2023-07-30,482303052299,1.61
3513,2023-07-30,482303052413,1.47
3514,2023-07-30,482303052483,1.48
3515,2023-07-30,482303052487,1.6
3516,2023-07-30,482303052489,1.49
3517,2023-07-30,482303052497,1.61
3518,2023-07-30,482303052574,1.5
3519,2023-07-30,482303052582,1.62
3520,2023-07-30,482303052599,1.61
3781,2023-07-29,482303052269,1.63
3782,2023-07-29,482303052299,1.74
3783,2023-07-29,482303052413,1.42
3784,2023-07-29,482303052483,1.62
3785,2023-07-29,482303052487,1.72
3786,2023-07-29,482303052489,1.42
3787,2023-07-29,482303052497,1.67
3788,2023-07-29,482303052574,1.62
3789,2023-07-29,482303052582,1.67
3790,2023-07-29,482303052599,1.73
4061,2023-07-28,482303052269,1.004
4062,2023-07-28,482303052299,1.139
4063,2023-07-28,482303052413,1.061
4064,2023-07-28,482303052483,0.993
4065,2023-07-28,482303052487,1.128
4066,2023-07-28,482303052489,1.076
4067,2023-07-28,482303052497,1.163
4068,2023-07-28,482303052574,1.021
4069,2023-07-28,482303052582,1.167
4070,2023-07-28,482303052599,1.136
4351,2023-07-27,482303052269,0.49
4352,2023-07-27,482303052299,0.597
4353,2023-07-27,482303052413,0.61
4354,2023-07-27,482303052483,0.48
4355,2023-07-27,482303052487,0.591
4356,2023-07-27,482303052489,0.62
4357,2023-07-27,482303052497,0.643
4358,2023-07-27,482303052574,0.5
4359,2023-07-27,482303052582,0.645
4360,2023-07-27,482303052599,0.597
4651,2023-07-26,482303052269,1.93
4652,2023-07-26,482303052299,2.09
