id,consumption_date,stand_i,stand_ii,gas
22815,2024-05-01 06:45:00.000000,48454,53344,39635.921
22816,2024-05-02 07:10:00.000000,48454,53333,39636.354
22817,2024-05-03 09:25:00.000000,48454,53325,39637.035
22818,2024-05-05 10:20:00.000000,48454,53328,39638.003
22819,2024-05-06 08:20:00.000000,48454,53318,39638.381
22820,2024-05-07 10:05:00.000000,48454,53315,39639.102
22821,2024-05-09 09:27:00.000000,48454,53315,39639.879
22822,2024-05-10 09:50:00.000000,48454,53307,39640.352
22823,2024-05-10 19:00:00.000000,48454,53292,39640.563
22824,2024-05-11 10:10:00.000000,48454,53295,39640.677
22825,2024-05-12 00:00:00.000000,48454,53284,39640.859
22826,2024-05-13 09:30:00.000000,48454,53272,39641.361
22827,2024-05-14 10:30:00.000000,48454,53265,39641.637
22828,2024-05-15 09:50:00.000000,48454,53262,39642.092
22829,2024-05-17 10:00:00.000000,48454,53265,39642.932
22830,2024-05-18 11:46:00.000000,48454,53261,39643.388
22831,2024-05-19 15:40:00.000000,48454,53245,39643.859
22832,2024-05-20 09:10:00.000000,48454,53248,39644.154
22833,2024-05-21 09:30:00.000000,48454,53248,39644.562
22834,2024-05-23 09:35:00.000000,48454,53253,39645.545
22835,2024-05-24 08:35:00.000000,48454,53246,39645.931
22836,2024-05-25 08:55:00.000000,48454,53250,39646.471
22837,2024-05-26 09:35:00.000000,48454,53251,39646.883
22838,2024-06-01 06:00:00.000000,48454,53238,39649.304
22839,2024-06-05 10:35:00.000000,48454,53235,39651.242
22840,2024-06-07 09:30:00.000000,48454,53212,39651.975
22841,2024-06-08 10:00:00.000000,48454,53200,39652.503
22842,2024-06-09 10:00:00.000000,48454,53196,39652.961
22843,2024-06-12 09:40:00.000000,48454,53185,39654.441
22844,2024-06-15 11:50:00.000000,48454,53171,39655.701
22845,2024-06-17 10:12:00.000000,48454,53167,39656.688
22846,2024-06-23 10:10:00.000000,48454,53149,39659.395
22847,2024-06-24 09:40:00.000000,48454,53136,39659.861
22848,2024-06-25 07:50:00.000000,48454,53129,39660.124
22849,2024-06-26 08:37:00.000000,48454,53121,39660.641
22850,2024-06-27 10:30:00.000000,48454,53109,39661.169
22851,2024-06-27 15:07:00.000000,48454,53100,39661.35
22852,2024-06-28 15:12:00.000000,48454,53094,39661.445
22853,2024-06-29 11:20:00.000000,48454,53093,39661.942
22854,2024-06-30 10:20:00.000000,48454,53086,39662.743
22855,2024-06-30 22:45:00.000000,48454,53082,39663.065
22856,2024-07-01 06:00:00.000000,48454,53084,39663.141
22857,2024-07-03 09:50:00.000000,48454,53081,39664.173
22858,2024-07-11 10:00:00.000000,48454,53069,39667.679
22859,2024-07-20 11:38:00.000000,48454,53054,39671.499
22860,2024-07-25 08:22:00.000000,48454,53049,39673.473
22861,2024-07-27 10:51:00.000000,48454,53048,39674.373
22862,2024-07-28 10:00:00.000000,48454,53049,39674.815
22863,2024-07-29 10:30:00.000000,48454,53040,39675.121
22864,2024-07-30 09:52:00.000000,48454,53031,39675.469
22865,2024-07-31 22:00:00.000000,48454,53021,39676.172
22866,2024-08-01 09:30:00.000000,48454,53026,39676.172
22867,2024-08-02 11:10:00.000000,48454,53027,39676.509
22868,2024-08-06 11:00:00.000000,48454,53020,39678.032
22869,2024-08-10 09:45:00.000000,48454,53005,39679.433
22870,2024-08-31 23:59:00.000000,48454,53015,39687.735
22871,2024-09-01 09:30:00.000000,48454,53015,39687.735
22872,2024-09-16 11:46:00.000000,48454,53028,39693.458
22873,2024-09-23 09:53:00.000000,48454,53005,39696.687
22874,2024-09-30 10:00:00.000000,48454,53025,39701.871
23074,2024-10-07 08:00:00.000000,48454,53018,39702.831
23075,2024-10-16 17:26:00.000000,48454,53026,39707.651
23076,2024-10-23 09:53:00.000000,48454,53026,39707.651
23078,2024-10-28 09:20:00.000000,48454,53067,39713.245
23079,2024-10-31 23:59:00.000000,48454,53095,39715.059
23080,2024-11-04 11:00:00.000000,48454,53106,39716.732
23081,2024-11-18 10:15:00.000000,48454,53212,39725.3970
