id,consumption_date,stand_i,stand_ii,gas
189,2019-05-01 07:30:00.000000,42867,41647,37219.552
190,2019-05-02 07:30:00.000000,42868,41653,37220.798
191,2019-05-03 07:30:00.000000,42870,41659,37221.53
192,2019-05-04 07:30:00.000000,42871,41666,37224.937
193,2019-05-05 07:30:00.000000,42883,41666,37225.909
194,2019-05-06 07:30:00.000000,42892,41667,37227.602
195,2019-05-07 07:30:00.000000,42893,41674,37231.534
196,2019-05-08 07:30:00.000000,42894,41681,37233.541
197,2019-05-09 07:30:00.000000,42896,41688,37235.113
198,2019-05-10 07:30:00.000000,42898,41695,37236.55
199,2019-05-15 07:30:00.000000,42919,41723,37247.212
200,2019-05-16 07:30:00.000000,42921,41732,37247.705
201,2019-05-17 07:30:00.000000,42922,41738,37249.342
202,2019-05-18 07:30:00.000000,42924,41745,37253.351
203,2019-05-19 07:30:00.000000,42940,41745,37253.968
204,2019-05-20 07:30:00.000000,42952,41745,37254.774
205,2019-05-21 07:30:00.000000,42954,41755,37255.502
206,2019-05-22 07:30:00.000000,42956,41763,37258.57
207,2019-05-23 07:30:00.000000,42958,41768,37259.184
208,2019-05-24 07:30:00.000000,42959,41777,37259.742
209,2019-05-25 07:30:00.000000,42960,41785,37260.321
210,2019-05-26 07:30:00.000000,42968,41785,37261.098
211,2019-05-27 07:30:00.000000,42980,41791,37262.045
212,2019-05-28 07:30:00.000000,42981,41801,37262.524
213,2019-05-29 07:30:00.000000,42982,41801,37263.369
214,2019-05-30 07:30:00.000000,42983,41807,37263.992
215,2019-05-31 07:30:00.000000,42995,41807,37264.738
216,2019-06-01 07:30:00.000000,42997,41813,37265.149
217,2019-06-02 07:30:00.000000,43013,41813,37265.84
218,2019-06-03 07:30:00.000000,43034,41813,37266.548
219,2019-06-04 07:30:00.000000,43036,41822,37266.912
220,2019-06-05 07:30:00.000000,43037,41830,37267.521
221,2019-06-06 07:30:00.000000,43039,41839,37268.158
222,2019-06-07 07:30:00.000000,43042,41843,37268.611
223,2019-06-08 07:30:00.000000,43043,41852,37269.135
224,2019-06-09 07:30:00.000000,43056,41852,37269.971
225,2019-06-16 18:00:00.000000,43083,41855,37272.106
226,2019-06-17 07:30:00.000000,43090,41855,37272.451
227,2019-06-18 07:30:00.000000,43091,41870,37273.001
228,2019-06-19 07:30:00.000000,43092,41890,37273.72
229,2019-06-20 07:30:00.000000,43096,41899,37274.315
230,2019-06-21 07:30:00.000000,43097,41912,37274.943
231,2019-06-22 07:30:00.000000,43099,41918,37275.42
232,2019-06-23 07:30:00.000000,43117,41918,37275.983
233,2019-06-24 07:30:00.000000,43131,41918,37276.525
234,2019-06-25 07:30:00.000000,43134,41946,37277.06
235,2019-06-26 07:30:00.000000,43137,41963,37277.502
236,2019-06-27 07:30:00.000000,43141,41981,37277.917
237,2019-06-28 07:30:00.000000,43142,41995,37278.501
238,2019-06-29 07:30:00.000000,43146,42010,37279.015
239,2019-06-30 07:30:00.000000,43177,42010,37279.67
240,2019-07-01 07:30:00.000000,43196,42011,37280.191
241,2019-07-02 07:30:00.000000,43198,42021,37280.545
242,2019-07-03 07:30:00.000000,43200,42035,37280.933
243,2019-07-04 07:30:00.000000,43202,42045,37281.428
244,2019-07-05 07:30:00.000000,43204,42056,37282.053
245,2019-07-06 07:30:00.000000,43207,42066,37282.473
246,2019-07-07 07:30:00.000000,43222,42066,37283.14
247,2019-07-08 07:30:00.000000,43232,42066,37283.639
248,2019-07-09 07:30:00.000000,43233,42076,37284.163
249,2019-07-10 07:30:00.000000,43235,42083,37284.543
250,2019-07-11 07:30:00.000000,43238,42093,37285.307
251,2019-07-12 07:30:00.000000,43241,42101,37285.861
252,2019-07-13 09:30:00.000000,43243,42109,37286.291
253,2019-07-14 08:30:00.000000,43259,42109,37287.025
254,2019-07-15 07:30:00.000000,43272,42109,37287.629
255,2019-07-16 07:30:00.000000,43273,42118,37288.365
256,2019-07-17 07:30:00.000000,43275,42127,37288.787
257,2019-07-18 07:30:00.000000,43277,42138,37289.237
258,2019-07-19 07:30:00.000000,43278,42147,37289.67
259,2019-07-20 09:00:00.000000,43286,42156,37290.375
260,2019-07-21 07:30:00.000000,43298,42156,37290.912
